rload,vsrc,vf,vf_from,vf_to,vr,vr_from,vr_to,vz,vz_from,vz_to,va,va_from,va_to
5,0.2,0.184592040078,0.002,0.003,0.182418252046,0.002,0.003,0.183162308003,0.002,0.003,0.182277030397,0.002,0.003
10,0.2,0.183653107948,0.002,0.003,0.182554362298,0.002,0.003,0.18302812408,0.002,0.003,0.180650037489,0.002,0.003
20,0.2,0.183637745115,0.002,0.003,0.182941010956,0.002,0.003,0.182692072588,0.002,0.003,0.180514816771,0.002,0.003
25,0.2,0.183158901178,0.002,0.003,0.183034995457,0.002,0.003,0.182454267824,0.002,0.003,0.180400124,0.002,0.003
32,0.2,0.183155331821,0.002,0.003,0.183133205318,0.002,0.003,0.182189864899,0.002,0.003,0.180682004016,0.002,0.003
50,0.2,0.183148054246,0.002,0.003,0.183199704581,0.002,0.003,0.181601420088,0.002,0.003,0.181307243637,0.002,0.003
75,0.2,0.183000134752,0.002,0.003,0.183122990969,0.002,0.003,0.181021594647,0.002,0.003,0.181866465192,0.002,0.003
100,0.2,0.183024169551,0.002,0.003,0.183002326117,0.002,0.003,0.180656678359,0.002,0.003,0.182199577529,0.002,0.003
121,0.2,0.183109367395,0.002,0.003,0.182905819493,0.002,0.003,0.180485027146,0.002,0.003,0.182398712974,0.002,0.003
150,0.2,0.18307061046,0.002,0.003,0.182778461267,0.002,0.003,0.180354086038,0.002,0.003,0.182554415664,0.002,0.003
220,0.2,0.18307475619,0.002,0.003,0.182554263847,0.002,0.003,0.180308194009,0.002,0.003,0.18277587377,0.002,0.003
470,0.2,0.183008953565,0.002,0.003,0.182140011138,0.002,0.003,0.180592568664,0.002,0.003,0.182985268834,0.002,0.003
1000,0.2,0.183035061936,0.002,0.003,0.181879239772,0.002,0.003,0.181159284817,0.002,0.003,0.183069030069,0.002,0.003
5,0.5,0.437021607533,0.002,0.003,0.15965759856,0.002,0.003,0.182669736237,0.002,0.003,0.393918410819,0.002,0.003
10,0.5,0.436964547651,0.002,0.003,0.178211268073,0.002,0.003,0.18179463906,0.002,0.003,0.35763149532,0.002,0.003
20,0.5,0.436914168049,0.002,0.003,0.180216661956,0.002,0.003,0.179378399476,0.002,0.003,0.299815388482,0.002,0.003
25,0.5,0.437050684164,0.002,0.003,0.181953389091,0.002,0.003,0.18006394621,0.002,0.003,0.276968115293,0.002,0.003
32,0.5,0.437196624026,0.002,0.003,0.18272525645,0.002,0.003,0.182459246778,0.002,0.003,0.250258090531,0.002,0.003
50,0.5,0.437557332851,0.002,0.003,0.183160179992,0.002,0.003,0.201601429406,0.002,0.003,0.20688644926,0.002,0.003
75,0.5,0.436915915553,0.002,0.003,0.182639530287,0.002,0.003,0.236648821646,0.002,0.003,0.182778871572,0.002,0.003
100,0.5,0.436908872427,0.002,0.003,0.181591868194,0.002,0.003,0.266793200061,0.002,0.003,0.177855199372,0.002,0.003
121,0.5,0.436910111515,0.002,0.003,0.180738889713,0.002,0.003,0.286077101434,0.002,0.003,0.177651351608,0.002,0.003
150,0.5,0.436930690859,0.002,0.003,0.179760839633,0.002,0.003,0.306097950248,0.002,0.003,0.178330286845,0.002,0.003
220,0.5,0.436946662424,0.002,0.003,0.178365883985,0.002,0.003,0.336386475285,0.002,0.003,0.179831429128,0.002,0.003
470,0.5,0.436937492567,0.002,0.003,0.178825263689,0.002,0.003,0.377051264943,0.002,0.003,0.181638071178,0.002,0.003
1000,0.5,0.436921449276,0.002,0.003,0.182598265284,0.002,0.003,0.398879479505,0.002,0.003,0.182294704416,0.002,0.003
5,0.9,0.812851751584,0.002,0.003,0.305604238195,0.002,0.003,0.182064938745,0.002,0.003,0.737231538924,0.002,0.003
10,0.9,0.813023927102,0.002,0.003,0.23674235277,0.002,0.003,0.180286900947,0.002,0.003,0.674356216862,0.002,0.003
20,0.9,0.812818075562,0.002,0.003,0.182378458576,0.002,0.003,0.207275795204,0.002,0.003,0.575821906781,0.002,0.003
25,0.9,0.812633039586,0.002,0.003,0.17724546499,0.002,0.003,0.239743891358,0.002,0.003,0.536221163864,0.002,0.003
32,0.9,0.812598178769,0.002,0.003,0.180158325057,0.002,0.003,0.288137136946,0.002,0.003,0.489200341154,0.002,0.003
50,0.9,0.812646773473,0.002,0.003,0.183029945636,0.002,0.003,0.382415023119,0.002,0.003,0.398176397007,0.002,0.003
75,0.9,0.812590368829,0.002,0.003,0.181205054615,0.002,0.003,0.465090772883,0.002,0.003,0.313530075559,0.002,0.003
100,0.9,0.812636323109,0.002,0.003,0.178592924164,0.002,0.003,0.519284846417,0.002,0.003,0.256770108315,0.002,0.003
121,0.9,0.812730919593,0.002,0.003,0.17786196829,0.002,0.003,0.552216687881,0.002,0.003,0.22396334358,0.002,0.003
150,0.9,0.8126718312,0.002,0.003,0.181539037146,0.002,0.003,0.58611406346,0.002,0.003,0.196270997081,0.002,0.003
220,0.9,0.812674072834,0.002,0.003,0.209491402715,0.002,0.003,0.637698292977,0.002,0.003,0.177817730728,0.002,0.003
470,0.9,0.81267395063,0.002,0.003,0.278691070256,0.002,0.003,0.707834198309,0.002,0.003,0.178344247792,0.002,0.003
1000,0.9,0.812782704763,0.002,0.003,0.319480301728,0.002,0.003,0.745808658157,0.002,0.003,0.180326717271,0.002,0.003
5,1.3,1.18852567687,0.002,0.003,0.467685154409,0.002,0.003,0.181345910648,0.002,0.003,1.07854451991,0.002,0.003
10,1.3,1.18791926665,0.002,0.003,0.37409639742,0.002,0.003,0.188790576696,0.002,0.003,0.987065773732,0.002,0.003
20,1.3,1.18792252393,0.002,0.003,0.220876389162,0.002,0.003,0.310565677561,0.002,0.003,0.844911572285,0.002,0.003
25,1.3,1.1881970075,0.002,0.003,0.085124275429,0.002,0.003,0.369957615789,0.002,0.003,0.788631384719,0.002,0.003
32,1.3,1.18849133506,0.002,0.003,0.175909762905,0.002,0.003,0.439112065421,0.002,0.003,0.721487066445,0.002,0.003
50,1.3,1.18855967176,0.002,0.003,0.182835217267,0.002,0.003,0.569886848134,0.002,0.003,0.592208662358,0.002,0.003
75,1.3,1.18847567757,0.002,0.003,0.179502907731,0.002,0.003,0.686943358314,0.002,0.003,0.474469467603,0.002,0.003
100,1.3,1.18857542842,0.002,0.003,0.179657072985,0.002,0.003,0.764381798062,0.002,0.003,0.395562882877,0.002,0.003
121,1.3,1.18859774894,0.002,0.003,0.199257800056,0.002,0.003,0.811693699634,0.002,0.003,0.346495721326,0.002,0.003
150,1.3,1.18867735147,0.002,0.003,0.241767595518,0.002,0.003,0.860493674568,0.002,0.003,0.294915366775,0.002,0.003
220,1.3,1.1884649372,0.002,0.003,0.32046466761,0.002,0.003,0.934628429985,0.002,0.003,0.21895114477,0.002,0.003
470,1.3,1.18874473346,0.002,0.003,0.426422564675,0.002,0.003,1.03607309207,0.002,0.003,0.175736518092,0.002,0.003
1000,1.3,1.18872320805,0.002,0.003,0.482647636326,0.002,0.003,1.09092355798,0.002,0.003,0.177781303693,0.002,0.003
5,1.6,1.46956842561,0.002,0.003,0.58370386871,0.002,0.003,0.18097128039,0.002,0.003,1.33401707187,0.002,0.003
10,1.6,1.46844448825,0.002,0.003,0.469585218027,0.002,0.003,0.215187331763,0.002,0.003,1.22091102747,0.002,0.003
20,1.6,1.46840648209,0.002,0.003,0.283229530168,0.002,0.003,0.393974216127,0.002,0.003,1.0461116943,0.002,0.003
25,1.6,1.46865581447,0.002,0.003,0.213144422415,0.002,0.003,0.465375241222,0.002,0.003,0.976777193067,0.002,0.003
32,1.6,1.46862247814,0.002,0.003,0.177926669953,0.002,0.003,0.549099675483,0.002,0.003,0.893932122489,0.002,0.003
50,1.6,1.46822706237,0.002,0.003,0.182658403376,0.002,0.003,0.708000433431,0.002,0.003,0.735048294439,0.002,0.003
75,1.6,1.46812644485,0.002,0.003,0.178116689675,0.002,0.003,0.851169983543,0.002,0.003,0.591266803115,0.002,0.003
100,1.6,1.4682571127,0.002,0.003,0.196705064341,0.002,0.003,0.946509425517,0.002,0.003,0.495999185585,0.002,0.003
121,1.6,1.46937372783,0.002,0.003,0.24628534432,0.002,0.003,1.00525652114,0.002,0.003,0.437335448831,0.002,0.003
150,1.6,1.46844096778,0.002,0.003,0.310028226366,0.002,0.003,1.06447719612,0.002,0.003,0.375315268718,0.002,0.003
220,1.6,1.46894717015,0.002,0.003,0.405956145626,0.002,0.003,1.15597728543,0.002,0.003,0.279521577254,0.002,0.003
470,1.6,1.46945120196,0.002,0.003,0.533394090665,0.002,0.003,1.2811979683,0.002,0.003,0.179199900126,0.002,0.003
1000,1.6,1.46826193169,0.002,0.003,0.601057493732,0.002,0.003,1.34739787699,0.002,0.003,0.174962953587,0.002,0.003
5,2.0,1.84596193346,0.002,0.003,0.737703158427,0.002,0.003,0.18263217443,0.002,0.003,1.67670120909,0.002,0.003
10,2.0,1.84406487024,0.002,0.003,0.596964179546,0.002,0.003,0.274849426078,0.002,0.003,1.53410902675,0.002,0.003
20,2.0,1.84351700941,0.002,0.003,0.372877262006,0.002,0.003,0.50206394506,0.002,0.003,1.31476853775,0.002,0.003
25,2.0,1.84402193079,0.002,0.003,0.278378955567,0.002,0.003,0.589868082554,0.002,0.003,1.22824865799,0.002,0.003
32,2.0,1.84452414779,0.002,0.003,-18.9926757373,0.002,0.003,0.693678671245,0.002,0.003,1.12538666358,0.002,0.003
50,2.0,1.84387909752,0.002,0.003,0.182361512352,0.002,0.003,0.892064227071,0.002,0.003,0.927006235051,0.002,0.003
75,2.0,1.84347927108,0.002,0.003,0.177602259468,0.002,0.003,1.07068228127,0.002,0.003,0.747241769618,0.002,0.003
100,2.0,1.8428068834,0.002,0.003,0.245279012782,0.002,0.003,1.1894680324,0.002,0.003,0.628101537077,0.002,0.003
121,2.0,1.84295489841,0.002,0.003,0.322278832443,0.002,0.003,1.26220422123,0.002,0.003,0.555336140036,0.002,0.003
150,2.0,1.84379424385,0.002,0.003,0.400652204916,0.002,0.003,1.33766538039,0.002,0.003,0.480282637731,0.002,0.003
220,2.0,1.84281334422,0.002,0.003,0.517110850003,0.002,0.003,1.45111755982,0.002,0.003,0.363615097007,0.002,0.003
470,2.0,1.84309458069,0.002,0.003,0.674421287375,0.002,0.003,1.60713487531,0.002,0.003,0.20513273649,0.002,0.003
1000,2.0,1.84406086015,0.002,0.003,0.759533557138,0.002,0.003,1.69249680088,0.002,0.003,0.172205246114,0.002,0.003
